"","GSM1200294","GSM1200295","GSM1200296","GSM1200297","GSM1200298","GSM1200299","GSM1200300","GSM1200301","GSM1200302","GSM1200303","GSM1200304","GSM1200305","GSM1200306","GSM1200307","GSM1200308","GSM1200309","GSM1200310","GSM1200311","GSM1200312","GSM1200313"
"TBC1D4",8.3732805535,8.3312210185,8.777438971,8.585246958,9.0143761915,8.39617015,9.2667232655,7.511746041,8.8088421665,8.4417090215,8.173617476,8.5266602005,7.866055444,7.994827596,7.021218534,8.0089743285,8.2327721055,7.606816463,8.0767544165,8.1755488015
"TBC1D5",9.019462337,9.090260003,9.1645960485,9.213007283,9.043239893,9.071586818,9.183314882,8.99894873,9.021159317,9.1473698385,9.4434357705,9.4709026585,9.2205787215,9.506570767,9.707139444,9.5414304675,9.3266750035,9.128088983,9.265564344,9.502257906
"TBC1D8B",4.547611504,4.649684958,4.580800298,4.419979278,4.453232374,4.719331636,4.735336879,4.682214271,5.136332075,4.662162907,4.719799747,5.984686136,4.821937605,4.8210573,4.629908655,5.321331952,4.813583946,4.581942488,4.831158141,4.606218093
"TBC1D9",9.960184768,10.62891089,9.656836997,9.866156347,9.465519759,10.35382547,9.87610095,10.62844353,10.73632764,10.58471092,9.871646837,10.16383593,9.42073037,9.726105525,10.15256144,9.818859317,10.34730239,9.723190853,9.987327307,9.765907459
"TBCCD1",7.566686783,7.701575374,7.558128072,7.085394434,7.423836491,7.943526589,8.129559101,7.914808102,7.794511872,7.809947294,7.272263763,7.288030941,6.492052822,6.770408954,6.957553255,6.816002879,7.848709275,7.072337666,7.338664155,7.319802915
"TBCD",7.290199845,7.240800991,7.364977208,7.328333335,7.390854953,8.893769461,8.732857251,8.469810962,8.424854457,8.925662878,7.623477893,8.666279927,8.428281331,8.66616848,8.561006563,8.320281672,7.174882329,7.53621749,7.330531127,7.398711771
"TBCEL",4.908008576,4.760415764,4.785272253,5.284520088,5.171065126,6.453299827,6.346078587,6.420364313,6.018462684,5.670770101,5.130893525,5.669307536,5.420586575,5.568842668,5.667185223,5.821862666,5.616902188,4.959665622,5.111452446,4.978655964
"TBCK",8.940344611,8.605379589,8.222681323,7.95707228,8.44694799,8.592988925,8.765667368,8.593286045,9.018752043,8.93019695,8.029352409,8.78179549,8.036492877,8.339896364,8.06908843,7.942663547,8.791839158,7.90942641,8.239231318,8.122062611
"TBL1X",8.109744211,8.12211939075,8.21449271775,8.28427204425,8.416503109,7.57064775175,7.745524522,7.75060866225,7.7006888385,7.55337649775,7.94484981125,7.97870784775,7.98935,7.85110169625,7.915972758,7.951034007,7.5675898785,7.9397893015,8.045397668,7.8810436255
"TBL1XR1",8.80751930366667,8.73132168233333,8.88761407866667,8.85846705566667,9.110431947,8.52563518166667,8.59727145533333,8.18710731733333,8.87267138533333,8.81238131633333,8.53710176433333,8.95157823,8.46629620866667,8.62325802766667,8.52862050166667,8.70359121966667,8.60566072433333,8.42125303566667,8.399084266,8.484689604
"TBL2",9.093806335,8.973314221,8.278882538,7.947358323,8.392852938,8.645648574,8.743949975,8.950962545,8.879216998,8.717194354,7.739920219,8.246836997,8.166438499,8.059919207,8.089261291,7.838732879,8.595498764,7.9929722,8.102056619,7.87371642
"TBRG1",7.873961011,7.762095804,7.911922229,7.95357538833333,8.08917096733333,7.797282166,7.838909385,7.54250819966667,7.67728973533333,7.632250258,7.38837251633333,7.64554356566667,7.76199144666667,7.79791414833333,7.78395207566667,7.94155658833333,7.42550876966667,7.65069299733333,7.37702054666667,7.48045716433333
"TBRG4",6.399285147,6.418141184,6.213957966,6.086309504,6.605857648,6.533588087,6.49954609,6.536518985,7.023184778,6.735295264,6.195041285,6.107767682,6.042206583,6.293864642,6.026902891,5.44926735,5.954366236,6.383340211,6.230683284,6.069838904
"TBX21",9.836364947,10.04020085,10.09286707,9.913914854,9.556467143,11.08428327,10.74399701,10.47112938,10.45727532,11.24399238,9.975413475,10.13504762,9.791200749,10.1499561,10.22842608,10.23765495,10.04882796,9.965664993,8.478982718,9.976757453
"TBXA2R",8.609097929,8.468888321,8.296833538,8.38469816,7.804867358,7.811973434,7.211642921,9.045469143,7.34839279,8.082915444,7.504570332,7.523042143,7.154305691,7.468517641,7.845261449,7.263431385,7.692169127,7.267450785,7.510492325,7.583767331
"TC2N",7.8150058405,8.3291469335,8.9642691845,8.4303018255,8.9754573595,8.336461626,8.6986322505,8.3024554795,8.362737979,9.2266655425,8.00218229,8.9113601565,8.2449734125,8.6116342615,8.240876305,8.5076877985,8.8301809505,8.508821297,7.813901177,7.977389627
"TCAF1",6.457502102,7.222970875,7.000899675,6.674068862,6.769474137,6.908231974,6.646626718,6.772082011,6.579150185,7.0958520775,6.630898352,6.455003866,5.306415742,5.757511364,5.6888764035,5.7606845075,7.117503027,6.426875692,6.1468587575,6.624308271
"TCAF2",6.42614232,6.379716722,6.957910752,7.045449071,7.271287222,6.436017221,6.853169417,6.300662526,6.823345371,6.691844699,7.230175862,6.543038273,6.907692113,7.076098339,6.379577742,7.029044324,6.66975029,7.38102205,7.119560056,7.007575704
"TCAIM",6.51704493933333,6.76223802333333,6.66359282266667,6.43537862866667,6.53159796466667,7.353113356,7.09540416266667,7.342058318,7.143799209,6.89712911366667,6.96119565233333,6.57035185333333,6.63818779433333,6.50554889833333,6.71515453666667,6.480847048,6.75291874133333,6.190301901,6.69617983033333,7.11636196133333
"TCEA1",7.583273192,7.682313294,8.161674789,8.102962836,8.069090409,7.388589467,7.576026805,7.279039683,7.564447996,7.37863307,8.364271056,8.334208078,8.706600907,8.366359203,8.703762663,8.449777961,8.219442766,8.404426332,8.284278406,8.490543985
"TCEA3",7.516351603,7.013605422,7.642118794,7.631245327,7.946816897,7.060076708,7.506561839,6.412183643,7.250704029,6.729756958,7.744535299,7.055635927,7.354868909,6.7092967,6.324737562,6.975735159,7.11479893,7.080920544,7.515923223,7.594040465
"TCEAL4",8.74833974,9.061787673,9.430692762,9.341228877,8.904742715,8.472845586,8.783034807,8.92731963,8.639861622,8.083668844,9.507052962,9.170693966,8.927984658,8.900689851,9.037831389,8.78167628,9.232257173,9.104448612,9.482150619,9.479272725
"TCEAL9",7.113286567,7.298932521,5.878382151,6.459795341,6.027895088,6.002834764,5.739482538,7.145378522,6.450898427,6.013502412,6.031554309,5.575158894,5.543315242,5.397607357,5.608805083,5.27476744,5.827209987,5.928813026,5.935645957,6.026194048
"TCEANC",6.06529189,6.09896708,5.610370696,5.508335539,5.687645449,5.905649044,5.685090553,5.913377765,6.39103165,5.800489576,5.371166663,5.34196482,4.858342881,5.19555866,5.096637161,5.321331952,5.469189778,5.234751164,4.875375319,5.509099842
"TCERG1",5.6721331485,5.2441157725,5.730639349,5.7831698775,5.984203028,4.9036273365,5.0077945355,4.8903764865,4.9389649425,4.9352738795,5.416085485,6.0429408825,6.174792823,6.1173804755,5.440825028,6.255508629,5.3030357545,5.3999632165,5.403161239,5.183226514
"TCF12",8.363807785,8.331799151,8.340492649,8.19808443933333,8.47752250666667,8.39141839966667,8.317887269,8.18870380633333,8.38401757033333,8.422192431,7.948491464,8.45772461766667,8.156540447,8.145937408,8.07035863166667,8.128257804,8.20402223866667,7.99219315166667,8.14965011933333,7.91881052766667
"TCF12-DT",7.317173161,7.206715021,7.714415891,7.796451073,7.524962081,6.88854416,7.071362458,6.603634511,7.004097662,6.603634511,7.351557585,7.649517764,7.60955506,7.521881198,7.174972838,7.633976187,7.259384952,7.451269776,7.295920201,7.460118857
"TCF25",9.0378662175,9.070059633,9.472588553,9.458856436,9.336740916,7.941342523,8.405365804,7.8418258255,7.873945729,7.8293802175,9.250870509,8.6868640765,8.970188048,8.7634410505,8.916671554,8.851670862,9.283582479,9.4845376945,9.3637877665,9.3807852755
"TCF4",9.33668448142857,8.64663979757143,9.153138301,8.81309249314286,8.52323902457143,7.90826333614286,8.002121102,7.722842444,8.37856323485714,8.004780439,9.03981692842857,9.03375131614286,8.450446432,8.36383974657143,8.69845266628571,8.72559289457143,9.140147331,8.857192575,9.07567332357143,8.98964787571428
"TCF7",9.315829876,9.533128153,9.9791784915,9.929010899,10.313520536,9.3529626165,10.4355987285,8.5157880345,10.171437955,9.995705934,9.5996551075,10.357130524,9.6827594095,9.7564251495,9.2042328035,9.712667708,9.554514466,9.2680732915,9.561865617,9.559461493
"TCF7L2",9.275678107,9.03611874866667,8.8190378385,8.62586307833333,9.07407446383333,8.83889048166667,9.04254041616667,9.30005905933333,8.4770513555,9.17148515066667,8.86301316583333,9.76917869733333,9.5538574065,9.70072643716667,8.79601402833333,8.752570522,8.9634803785,9.14801764833333,8.88904479783333,8.88052985716667
"TCHP",6.747828323,6.884762518,6.511300322,6.643301185,6.719980662,7.538607069,7.350535817,7.388186398,7.482889487,7.342687652,6.614277743,7.208004497,6.599055745,6.908018149,7.118651671,6.815018924,6.461632254,6.378230639,6.405076998,6.587889979
"TCL1A",10.94592577,9.863528823,10.40501427,8.8929779165,9.8434144885,9.8752360535,10.22135629,8.8259889535,8.8987570345,9.7214555435,9.5151555865,11.074539405,7.845752866,8.5899644805,8.7763200815,9.3111038305,9.7762333395,8.019888024,9.4146151055,9.5721583885
"TCL6",5.549574792,4.623164767,4.67233254,4.560677861,4.66798762,4.870599287,4.83105798,4.432259027,4.698034126,5.163456986,4.585327122,6.090385395,4.301605863,4.605782711,4.927666116,5.054235283,5.101347286,4.376898491,4.748153482,4.526288011
"TCN2",9.329926583,8.430740587,7.84821439,8.125030216,8.265616944,8.307774957,8.18583114,8.9678717,8.399935388,8.054011254,8.173930598,8.165005627,9.216824943,8.424461738,8.45261892,8.38677622,8.178754752,8.320635713,8.201328977,8.238676507
"TCP11L2",6.08861028425,6.16772312875,6.755592416,6.75755474975,6.81433890475,6.53234396825,6.7839768065,5.9126664615,6.72823791575,6.631096015,7.07225664475,7.545950649,7.30552228075,7.4553224685,7.49718465825,7.704728763,7.01632847625,6.76713289275,6.99329908175,6.997890839
"TDG",9.2194238725,9.051609273,9.1063189285,9.075275915,9.218801289,9.183924513,9.284222029,8.666849511,9.3457823345,8.7070156215,8.7979863655,9.268958675,9.2532201835,9.3622528945,8.9825202165,8.983523015,9.0727194525,9.3074397705,8.9230625425,8.7189047685
"TDH",5.79376354,6.162094021,6.071750552,6.451265183,6.387444749,6.191094358,5.969573278,5.889923678,5.823038372,6.088510795,6.650090956,5.853329441,5.917537311,5.82754562,5.681781907,5.913507516,6.546036568,6.814412505,6.60890704,6.510912224
"TDH-AS1",6.882598229,7.062984522,6.863965141,6.854302756,6.784873382,7.467061819,7.597522493,7.57386984,7.274196084,7.420747974,7.49294349,7.939182502,7.530034273,7.698440361,7.519397406,7.931272215,7.367502294,7.330177918,7.509216026,7.429222648
"TDP1",7.416620414,7.737380546,7.490979971,7.089334262,7.452006918,8.167172321,8.374857145,8.112784826,8.362492003,8.401125801,7.101564468,7.971258193,7.318468312,7.615826037,7.418317597,7.622456196,7.671169636,6.888941579,6.948898373,6.949229553
"TDP2",10.38920168,10.73614243,10.28769064,10.21953482,10.14770322,10.69860623,10.40256018,10.56683352,10.80502259,10.90980134,9.725613748,10.09269111,9.913749475,10.39509075,9.755299155,10.23437674,10.20791792,10.32593011,9.833668497,9.773421006
"TDRD12",5.586267373,5.734936197,5.646140387,5.989813094,6.114519874,5.889852199,5.810489715,5.397304003,5.600661466,5.648796915,6.506276195,5.63066921,5.71610982,5.94875975,5.304453715,5.436182177,6.098240959,6.302441024,6.192838378,6.441146888
"TDRD7",10.12169068,9.271073131,8.893957713,8.728495499,8.949934215,9.134101178,9.282251517,9.35644962,9.34093086,9.320363814,8.502077164,8.828687052,8.930274786,8.962176225,8.547496701,8.793291378,9.063272357,8.718534262,8.560205127,8.353997655
